Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Ivory Coast,0.0,0.0,14.0,0.0,1.0,49882000000.0,1891.0259,26378273,19.9,0.0,60.1,9.4,70.0,46.3,43.1,50.2488
Jamaica,18.1096,-77.2975,16.0,1.0,2.0,16717000000.0,5645.4094,2961167,28.6,1.7,74.5,12.2,307.0,17.1,88.7,49.4949
Japan,36.2048,138.2529,1086.0,40.0,235.0,5495420000000.0,43450.1405,126476461,47.7,13.4,85.5,2.9,4169.0,16.1,0.0,48.4536
Jersey,49.19,-2.11,0.0,0.0,0.0,0.0,0.0,0,37.7,0.0,82.0,4.0,0.0,0.0,0.0,49.2386
Jordan,30.5852,36.2384,112.0,0.0,1.0,46451000000.0,4552.6208,10203134,22.8,1.4,75.0,18.3,341.0,14.2,95.4,52.8302
Kazakhstan,48.0196,66.9237,60.0,0.0,0.0,177322000000.0,9443.7219,18776707,30.9,6.7,71.4,5.0,280.0,2.6,99.8,47.644
Kenya,-0.0236,37.9062,15.0,0.0,0.0,109116000000.0,2029.2611,53771295,20.0,1.4,64.6,40.0,77.0,36.1,78.0,50.0
Kiribati,0.0,0.0,0.0,0.0,0.0,196000000.0,1640.8677,119449,25.0,1.9,66.9,30.6,171.0,0.0,0.0,48.7179
"Korea, North",0.0,0.0,0.0,0.0,0.0,0.0,651.2557,25778816,34.2,13.2,71.0,25.6,0.0,0.0,100.0,48.4536
"Korea, South",35.9078,127.7669,8897.0,104.0,2909.0,1744360000000.0,34023.5563,51269185,42.3,11.5,82.5,3.7,2283.0,14.4,0.0,50.0
Kosovo,42.6026,20.903,2.0,0.0,0.0,8402000000.0,4679.0,1810463,29.6,0.0,0.0,30.5,0.0,17.6,0.0,51.4563
Kuwait,29.3117,47.4818,188.0,0.0,27.0,142999000000.0,33484.7495,4270571,29.4,2.0,78.3,1.1,1529.0,0.0,96.0,58.3333
Kyrgyzstan,41.2044,74.7661,14.0,0.0,0.0,8781000000.0,1345.9132,6524195,26.8,4.5,71.2,7.1,79.0,32.1,99.5,48.9796
Laos,0.0,0.0,0.0,0.0,0.0,22013000000.0,3025.6090000000004,7275560,23.4,1.5,65.0,0.7,62.0,22.0,84.7,49.7487
Latvia,56.8796,24.6032,139.0,0.0,1.0,38102000000.0,20200.4243,1886197,43.9,5.8,74.9,8.7,930.0,25.5,99.9,46.2366
Lebanon,33.8547,35.8623,248.0,4.0,8.0,60620000000.0,8881.4722,6825445,31.3,2.9,77.9,9.7,719.0,28.6,93.9,50.0
Lesotho,0.0,0.0,0.0,0.0,0.0,2892000000.0,1349.9831,2142249,24.4,0.0,53.0,28.1,105.0,57.0,79.4,49.4949
Liberia,6.4281,-9.4295,3.0,0.0,0.0,3217000000.0,636.0623,5057681,17.8,0.8,63.8,2.8,57.0,54.1,47.6,50.0
Libya,0.0,0.0,0.0,0.0,0.0,50424000000.0,7338.3579,6871291,29.4,3.7,76.9,30.0,0.0,0.0,91.0,51.6908
Liechtenstein,47.166,9.5554,37.0,0.0,0.0,0.0,162444.3334,38128,43.4,0.0,82.0,2.4,0.0,0.0,0.0,49.7487
Lithuania,55.1694,23.8813,131.0,1.0,1.0,57602000000.0,21159.3993,2722289,44.0,7.3,75.2,7.1,1078.0,22.2,99.8,46.2366
Luxembourg,49.8153,6.1296,798.0,8.0,6.0,73693000000.0,117724.5846,625978,39.3,4.9,82.4,5.8,5783.0,0.0,0.0,50.2488
Macau,0.0,0.0,0.0,0.0,0.0,62158000000.0,95725.627,649335,39.8,0.0,84.6,2.0,0.0,0.0,96.5,47.3684
Macedonia,0.0,0.0,114.0,1.0,1.0,13700000000.0,6575.8716,2083373,38.2,4.4,75.9,22.4,328.0,21.5,97.8,49.7487
Madagascar,-18.7669,46.8691,3.0,0.0,0.0,13542000000.0,489.0394,27691017,19.9,0.2,66.6,1.8,25.0,70.7,64.7,50.0
Malawi,0.0,0.0,0.0,0.0,0.0,7861000000.0,410.9263,19129952,16.6,1.3,62.2,20.4,32.0,50.7,62.1,49.4949
Malaysia,4.2105,101.9758,1306.0,10.0,139.0,401985000000.0,12419.9781,32365999,28.7,1.9,75.4,3.4,384.0,3.8,94.6,50.7389
Maldives,3.2028,73.2207,13.0,0.0,0.0,6213000000.0,11493.9764,540544,28.6,4.3,76.0,2.9,1007.0,15.0,99.3,54.1284
Mali,0.0,0.0,0.0,0.0,0.0,19332000000.0,954.6274,20250833,15.8,0.1,60.8,7.9,31.0,36.1,33.1,48.7179
Malta,35.9375,14.3754,90.0,0.0,2.0,16338000000.0,37002.0587,441543,41.8,4.7,82.7,4.6,2586.0,16.3,94.4,50.2488
Marshall Islands,0.0,0.0,0.0,0.0,0.0,228000000.0,3852.002,59190,23.1,2.7,73.6,36.0,642.0,0.0,98.3,50.7389
Martinique,14.6415,-61.0242,37.0,1.0,0.0,10700000000.0,27688.0,376480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,21.0079,-10.9408,2.0,0.0,0.0,5697000000.0,1225.2514,4649657,20.7,0.0,63.8,10.2,49.0,31.0,52.1,48.1865
Mauritius,-20.3484,57.5522,18.0,1.0,0.0,15757000000.0,12389.8384,1271768,35.7,3.7,76.0,7.1,600.0,8.0,93.2,49.2386
Mayotte,-12.8275,45.1662,11.0,0.0,0.0,3300000000.0,12120.0,2791270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,23.6345,-102.5528,251.0,2.0,4.0,1297750000000.0,10065.3245,128932753,28.6,1.5,76.3,3.4,495.0,46.2,94.9,48.9796
Micronesia,0.0,0.0,0.0,0.0,0.0,389000000.0,3381.9323,115023,25.5,3.2,73.4,16.2,425.0,26.7,0.0,49.2386
Moldova,47.4116,28.3699,94.0,1.0,1.0,12793000000.0,3171.3231,4033962,37.0,5.8,71.3,4.1,191.0,9.6,99.4,48.7179
Monaco,43.7384,7.4246,23.0,0.0,1.0,0.0,164823.4258,39242,53.8,13.8,89.4,2.0,2932.0,0.0,0.0,48.4536
Mongolia,46.8625,103.8467,10.0,0.0,0.0,14960000000.0,4563.3547,3278290,28.8,7.0,70.2,8.0,149.0,29.6,98.4,48.9796
Montenegro,42.7087,19.3744,21.0,0.0,0.0,5740000000.0,9139.1669,628066,38.9,4.0,0.0,16.1,0.0,8.6,98.7,49.2386
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,12430.1633,4992,33.8,0.0,74.8,5.6,0.0,0.0,0.0,50.0
Morocco,31.7917,-7.0926,115.0,4.0,3.0,129056000000.0,3496.452,36910560,29.7,1.1,77.3,10.2,161.0,15.0,68.5,48.9796
Mozambique,-18.6657,35.5296,1.0,0.0,0.0,16294000000.0,521.3173,31255435,17.3,0.7,54.1,24.5,21.0,46.1,56.0,48.9796
Myanmar,0.0,0.0,0.0,0.0,0.0,71403000000.0,1312.3187,54409800,28.5,0.9,68.6,4.0,58.0,25.6,75.6,49.2386
Namibia,-22.9576,18.4904,3.0,0.0,0.0,14627000000.0,5756.6103,2540905,21.4,2.7,64.4,34.0,447.0,28.7,81.9,48.9796
Nauru,0.0,0.0,0.0,0.0,0.0,117000000.0,10809.3126,10824,26.7,5.0,67.8,23.0,1107.0,0.0,0.0,46.8085
Nepal,28.3949,84.124,2.0,0.0,1.0,33035000000.0,1133.7893,29136807,24.5,3.0,71.3,3.0,48.0,25.2,63.9,48.9796
Netherlands,52.1326,5.2913,4216.0,180.0,2.0,954931000000.0,55730.2675,17134872,42.7,4.7,81.5,4.9,4911.0,8.8,0.0,49.4949
New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,33085.0474,285498,32.3,0.0,78.0,14.7,0.0,17.0,96.9,50.0
New Zealand,-40.9006,174.886,66.0,0.0,0.0,224943000000.0,46647.0616,4822233,38.1,2.8,81.4,4.7,3937.0,0.0,0.0,49.7487
Nicaragua,12.8654,-85.2072,2.0,0.0,0.0,12459000000.0,1880.7304,6624554,26.2,0.9,73.7,6.4,192.0,29.6,82.8,48.7179
Niger,17.6078,8.0817,2.0,0.0,0.0,10628000000.0,439.05300000000005,24206644,15.5,0.0,56.3,0.3,29.0,45.4,19.1,50.2488
Nigeria,9.082,8.6753,30.0,0.0,2.0,496122000000.0,2406.7284,206139588,18.3,0.0,59.3,16.5,74.0,70.0,59.6,50.495
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.4,0.0,75.6,11.2,0.0,0.0,0.0,53.0516
Norway,60.472,8.4689,2383.0,7.0,1.0,438623000000.0,80908.2275,5421241,39.3,3.8,82.0,4.2,7936.0,0.0,0.0,50.495
Oman,21.4735,55.9754,55.0,0.0,17.0,84158000000.0,16480.1573,5106626,25.8,1.6,75.9,0.0,588.0,0.0,96.1,54.1284
Pakistan,30.3753,69.3451,776.0,5.0,5.0,0.0,1278.9308,220892340,24.1,0.6,68.4,6.0,45.0,29.5,57.9,51.2195
Palau,0.0,0.0,0.0,0.0,0.0,324000000.0,17906.4883,18094,33.6,4.8,73.6,1.7,1596.0,24.9,96.6,51.9231
Palestine,0.0,0.0,0.0,0.0,0.0,0.0,2626.1542,5101414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,8.538,-80.7821,245.0,3.0,0.0,75494000000.0,17496.6574,4314767,29.5,2.3,78.9,6.0,1112.0,23.0,95.0,50.2488
Papua New Guinea,-6.315,143.9555,1.0,0.0,0.0,22114000000.0,2471.6599,8947024,23.4,0.0,67.5,2.5,61.0,37.0,64.2,50.9804
Paraguay,-23.4425,-58.4438,22.0,1.0,0.0,45376000000.0,6361.8308,7132538,28.7,1.3,77.6,5.7,381.0,22.2,94.7,50.2488
Peru,-9.19,-75.0152,363.0,5.0,1.0,244163000000.0,7405.1947,32971854,28.4,1.6,74.2,6.9,333.0,22.7,94.2,48.9796
Philippines,12.8797,121.774,380.0,25.0,17.0,389048000000.0,3550.321,109581078,23.7,1.0,69.6,5.7,133.0,21.6,96.3,50.2488
Poland,51.9194,19.1451,634.0,7.0,1.0,643274000000.0,16996.8719,37846611,41.1,6.5,77.9,4.9,907.0,17.6,99.8,48.4536
Portugal,39.3999,-8.2245,1600.0,14.0,5.0,249912000000.0,24509.0843,10196709,43.7,3.4,80.9,8.9,1908.0,19.0,95.7,47.3684
